EventFrame,StartTime,EndTime,AnodeNumber,Shift,FineCoke,MediumCoke,CoarseCoke,FineButt,CoarseButt,BallMillFraction,GreenScrap,SetPitch,RunningPitch,DryMix,FreshPaste,TotalPaste,DryMixTemperature,Speed,Current,MixerTemperature,PitchTemperature,IntPower,KneaderTorque,KneaderSpeed,FlapPOS,WaterFlowRate,CoolerPower,PasteLoad,Gateposition,PasteTemperature,Weight,Height,Density,DryDensity,Vaccum,AirPressure,BallMillFeedRate,TransferHopperResidualWeight,VC3Current,VC4Current,ClassifierRejectFlow,ClassifierSpeed,TotalVibratingTime,TimeforSpeedSlow,TimeforSpeedFast,SpeedSlow,SpeedFast,H,D,M,Code,PSCExclude,ManualGood,ShiftDate,Status,VC Current
VC_Report_GAP2_2025-01-15 15:20:52,2025-01-15 15:20:52.063,2025-01-15 15:20:54.143,34262.0,B,30.0,8.0,11.0,9.0,14.0,28.0,5.0,14.5,14.4979496,28.47799873,33.30759811,35.02329254,166.7695313,3.790638447,45.28385544,176.0,197.7328491,283.4383545,10.01659393,47.0,48.0,414.0,106.8194199,2138.399902,24.90476227,-31.50000763,1045.420898,600.5546265,1.663999677,1.422719717,38.06750488,3.5,0.003484296,38.30245972,81.41104126,76.86198425,3.814236164,856.2549438,50.54499817,10.0,40.54499817,1042.17041,1432.586792,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,81.41104126
VC_Report_GAP2_2025-01-15 15:22:46,2025-01-15 15:22:46.077,2025-01-15 15:22:48.047,44130.0,B,30.0,8.0,11.0,9.0,14.0,28.0,5.0,14.5,14.51212883,28.47799873,33.30759811,35.04611588,166.6458588,3.705663919,45.40604401,176.0,197.6380615,325.7425842,24.27091217,47.0,47.0,354.8999939,110.2138443,2113.600098,24.09523773,-31.50000763,1039.613281,600.6531372,1.654457092,1.414560795,57.46118164,3.5,0.003778901,38.87033081,81.41104126,78.34889221,3.691173077,856.6921997,75.01499939,10.0,65.01499939,1037.842651,1443.841797,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,78.34889221
VC_Report_GAP2_2025-01-15 15:24:32,2025-01-15 15:24:32.073,2025-01-15 15:24:34.040,34263.0,B,30.0,8.0,11.0,9.0,14.0,28.0,5.0,14.5,14.50808144,28.47799873,33.30759811,35.0125885,166.6281891,3.696222305,44.48716736,176.0,197.6342773,291.8992004,15.81845474,47.0,45.0,410.5,108.1821213,2126.399902,25.04761505,-31.50000763,1045.969971,601.7598267,1.661208034,1.420332909,37.28234863,3.5,0.003484296,38.75442123,83.33959961,78.34889221,3.657027483,856.7213135,48.68999863,10.0,38.68999863,1043.017456,1431.773682,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,83.33959961
VC_Report_GAP2_2025-01-15 15:26:16,2025-01-15 15:26:16.097,2025-01-15 15:26:18.067,44131.0,B,30.0,8.0,11.0,9.0,14.0,28.0,5.0,14.5,14.51665306,28.47799873,33.30759811,35.03836823,166.6900177,3.703112364,44.5767746,176.0,197.6674194,308.8208923,16.80212021,47.0,44.0,313.6000061,109.3494263,2122.399902,26.42857361,-31.50000763,1035.73645,595.4394531,1.664169312,1.422864795,50.08056641,3.5,0.003484296,40.0587883,83.33959961,77.50975037,3.988375187,856.7504272,75.01000214,10.0,65.01000214,1037.870239,1443.75415,0.0,2.0,2.0,1.0,1.0,0,1/15/2025,False,77.50975037
VC_Report_GAP2_2025-01-15 15:27:42,2025-01-15 15:27:42.077,2025-01-15 15:27:44.047,34264.0,B,30.0,8.0,11.0,9.0,14.0,28.0,5.0,14.5,14.51245785,28.47799873,33.30759811,34.9670372,166.9108582,3.758485794,45.69767761,176.0,197.6641693,313.0513,16.81684494,47.0,45.0,425.3999939,107.2536392,2137.600098,26.38095093,-31.50000763,1037.004639,601.8422852,1.646721244,1.407946706,37.046875,3.5,0.003484296,38.25094223,80.95465851,77.50975037,3.512987852,856.7213135,35.43199921,10.0,25.43199921,1041.972168,1432.790039,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,80.95465851
VC_Report_GAP2_2025-01-15 15:29:42,2025-01-15 15:29:42.120,2025-01-15 15:29:44.090,44132.0,B,30.0,8.0,11.0,9.0,14.0,28.0,5.0,14.5,14.51071644,28.47799873,33.30759811,35.02130127,166.4868622,3.726333618,45.19750595,176.0,197.7010803,308.8208923,13.36223602,47.0,46.0,374.1000061,108.6635513,2106.0,26.11904907,-31.50000763,1039.410645,601.8386841,1.65055275,1.411222577,52.04345703,3.5,0.003484296,39.56230927,80.95465851,76.92578125,2.907252073,857.6832275,75.01699829,10.0,65.01699829,1038.204102,1441.795288,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,76.92578125
VC_Report_GAP2_2025-01-15 15:38:30,2025-01-15 15:38:30.067,2025-01-15 15:38:32.037,34267.0,B,31.0,6.0,11.0,9.0,14.0,28.0,5.0,14.5,14.51769447,28.47799873,33.30759811,34.8663063,166.4161987,3.791914225,44.97756195,176.0,197.6081085,270.7470703,11.18874741,47.0,47.0,323.6000061,108.3013916,2106.800049,25.7857132,-31.50000763,1043.470093,603.0200195,1.653431654,1.413684011,36.96838379,3.5,5.241519928,37.9629097,81.05280304,76.77856445,5.193462849,856.9545288,40.88800049,10.0,30.88800049,1042.732666,1432.499634,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,81.05280304
VC_Report_GAP2_2025-01-15 15:40:32,2025-01-15 15:40:32.063,2025-01-15 15:40:34.033,44135.0,B,32.0,6.0,11.0,9.0,14.0,28.0,5.0,14.5,14.49125576,28.47799873,33.30759811,35.00642776,166.4780273,3.785024643,44.93031311,176.0,197.644577,279.2079163,38.72549438,47.0,46.0,418.1000061,107.500267,2104.0,27.38095093,-31.50000763,1035.332642,599.0003662,1.652644634,1.413011193,49.60949707,3.5,5.222970486,39.08577347,81.05280304,76.22403717,5.82853651,857.625,67.15499878,10.0,57.15499878,1037.90918,1443.95874,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,76.22403717
VC_Report_GAP2_2025-01-15 15:42:00,2025-01-15 15:42:00.120,2025-01-15 15:42:02.090,34268.0,B,32.0,6.0,11.0,9.0,14.0,28.0,5.0,14.5,14.50276279,28.47799873,33.30759811,34.99704742,166.4161987,3.71536088,44.64356995,176.0,197.6160583,287.6687622,10.88245773,47.0,48.0,331.7000122,109.1286621,2103.600098,27.38095093,-31.50000763,1041.411865,602.0267944,1.653162837,1.413454175,36.26171875,3.5,5.255358696,37.41494751,82.49063873,76.22403717,5.534295082,858.0330811,42.26100159,10.0,32.26100159,1042.38269,1432.063965,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,82.49063873
VC_Report_GAP2_2025-01-15 15:44:10,2025-01-15 15:44:10.103,2025-01-15 15:44:12.070,44136.0,B,32.0,6.0,11.0,9.0,14.0,28.0,5.0,14.5,14.49952602,28.47799873,33.30759811,35.01462173,166.1511993,3.742665052,45.41582108,175.0,197.6625977,308.8208923,19.39086914,47.0,50.0,431.5,109.2401733,2133.600098,30.52381134,-31.50000763,1036.321899,598.5289917,1.655656576,1.415586352,47.56811523,3.5,5.241519928,38.4757576,82.49063873,76.60189819,6.534758091,857.5666504,68.50800323,10.0,58.50800323,1037.708252,1444.601929,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,76.60189819
VC_Report_GAP2_2025-01-15 15:45:38,2025-01-15 15:45:38.050,2025-01-15 15:45:40.127,34269.0,B,32.0,6.0,11.0,9.0,14.0,28.0,5.0,14.5,14.50346565,28.47799873,33.30759811,35.00053024,166.1777039,3.785024643,45.08671951,176.0,197.5839539,317.2817383,29.54854393,47.0,46.0,338.7000122,110.3989334,2112.800049,28.80952454,-31.50000763,1041.395386,603.4832764,1.648752093,1.409682989,37.28234863,3.5,5.228564739,37.40205765,47.78632355,76.60189819,6.343863487,856.6338501,40.21500015,10.0,30.21500015,1042.309814,1433.13855,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,47.78632355
VC_Report_GAP2_2025-01-15 15:47:42,2025-01-15 15:47:42.093,2025-01-15 15:47:44.063,44137.0,B,32.0,6.0,11.0,9.0,14.0,28.0,5.0,14.5,14.50954437,28.47799873,33.30759811,35.01501846,166.4603577,3.74980998,44.1287384,176.0,197.6070251,291.8992004,18.79301453,47.0,46.0,384.6000061,108.2687531,2097.200195,29.30952454,-31.50000763,1039.897827,601.7601929,1.651563287,1.412086606,49.60949707,3.5,5.259480476,40.1255188,47.78632355,76.20440674,7.458132744,857.1295166,75.00900269,10.0,65.00900269,1037.149048,1443.05249,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,76.20440674
VC_Report_GAP2_2025-01-15 15:49:22,2025-01-15 15:49:22.073,2025-01-15 15:49:24.043,34270.0,B,32.0,6.0,11.0,9.0,14.0,28.0,5.0,14.5,14.50655651,28.47799873,33.30759811,35.02350616,166.5840302,3.76665163,44.39267349,175.0,197.6026917,287.6687622,19.69126892,47.0,47.0,313.6000061,108.2446442,2118.399902,32.38095093,-31.50000763,1041.966797,603.9543457,1.648242831,1.409247637,36.96838379,3.5,0.003778901,40.15713501,83.36413574,76.20440674,9.244412422,857.3043213,45.93799973,10.0,35.93799973,1042.304932,1431.889771,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,83.36413574
VC_Report_GAP2_2025-01-15 15:51:24,2025-01-15 15:51:24.057,2025-01-15 15:51:26.023,44138.0,B,32.0,6.0,11.0,9.0,14.0,28.0,5.0,14.5,14.51909637,28.47799873,33.30759811,35.02709579,166.2748718,3.763334274,44.59143829,175.0,197.6058044,304.5904541,28.04653931,47.0,46.0,342.3000183,109.4694595,2130.0,33.95237732,-31.50000763,1040.437622,601.7484131,1.652456045,1.412849903,52.98571777,3.5,0.003484296,39.64662933,83.36413574,76.4497757,6.782731533,856.8961792,75.02200317,10.0,65.02200317,1037.441528,1441.736816,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,76.4497757
